"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"603",2015-02-22,-2.20493488690884,4,2,6,-1.91461862332321
"604",2015-02-23,-2.37080191912269,-2,-1,-2,-2.88612552629002
"605",2015-03-09,-2.5229609321453,1,6,11,-3.77734260256535
"606",2015-03-12,-2.79849211788896,-2,0,-2,-5.39116811906394
"607",2015-03-18,-3.3564084989719,1,1,1,-8.65896406540683
"608",2015-03-25,-3.13845099383139,-1,-1,-1,-7.38235582101243
"609",2015-03-26,-2.74914324880055,-2,4,-1,-5.10212474297463
"610",2015-03-27,-2.82864976010966,0,2,0,-5.56780573778518
"611",2015-03-31,-3.2056202878684,0,1,-2,-7.77577597180064
"612",2015-04-01,-2.92597669636737,-1,2,-9,-6.13786350729462
"613",2015-04-02,-2.92597669636737,-1,1,-1,-6.13786350729462
"614",2015-04-03,-2.92597669636737,0,1,-3,-6.13786350729462
"615",2015-04-06,-2.92597669636737,5,10,7,-6.13786350729462
"616",2015-04-09,-2.88348183687457,1,2,4,-5.88896504455106
"617",2015-04-10,-2.776559287183,1,0,2,-5.26270439635758
"618",2015-04-15,-2.43385880740233,0,1,3,-3.25545872907079
"619",2015-04-16,-2.32282385195339,2,0,4,-2.60511113286986
"620",2015-04-17,-2.16106922549692,0,1,5,-1.6576911779105
"621",2015-04-20,-2.17614804660726,3,5,9,-1.74600998727112
"622",2015-04-21,-2.32419465387251,0,0,0,-2.61314011553901
"623",2015-04-22,-2.32419465387251,2,4,8,-2.61314011553901
"624",2015-04-23,-1.97601096641535,1,3,2,-0.57377851757564
"625",2015-04-24,-1.93488690884167,0,5,0,-0.332909037501217
"626",2015-04-29,-1.79643591501028,4,1,13,0.478018212082642
"627",2015-04-30,-1.80603152844414,3,3,11,0.421815333398619
"628",2015-05-01,-1.77450308430432,0,3,6,0.606481934788995
"629",2015-05-03,-1.77450308430432,-2,-4,-1,0.606481934788995
"630",2015-05-04,-1.70733379026731,4,4,15,0.999902085577208
"631",2015-05-05,-1.59492803289925,0,1,0,1.65827866444727
"632",2015-05-11,-1.95407813570939,-1,2,3,-0.445314794869279
"633",2015-05-12,-1.64290610006854,-1,-2,-4,1.37726427102713
"634",2015-05-13,-1.47292666209733,1,2,3,2.37285812200138
"635",2015-05-14,-1.57573680603153,0,0,3,1.77068442181533
"636",2015-05-15,-1.69773817683345,-3,-2,-5,1.05610496426123
"637",2015-05-17,-1.69773817683345,-3,-1,-6,1.05610496426123
"638",2015-05-18,-1.6346812885538,-3,-2,-2,1.42543816704201
"639",2015-05-19,-1.86360520904729,1,0,2,0.0845980612944324
"640",2015-05-20,-1.8581220013708,1,0,3,0.116713991971029
"641",2015-05-21,-1.69636737491432,1,6,3,1.06413394693039
"642",2015-05-26,-2.11446196024674,-1,1,0,-1.38470576715949
"643",2015-05-28,-2.32419465387251,0,4,2,-2.61314011553901
"644",2015-05-30,-2.32419465387251,-4,-2,-3,-2.61314011553901
"645",2015-05-31,-2.32419465387251,-5,-1,-3,-2.61314011553901
